DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,1998,4.2,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,1999,3.9,be
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2000,3.7,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2001,3.4,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2002,3.7,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2003,4.2,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2004,5.2,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2005,6.6,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2006,6.0,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2007,5.4,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2008,4.9,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2009,4.8,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2010,4.3,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2011,3.9,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2012,3.5,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2013,3.5,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2014,3.4,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2015,3.0,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2016,2.9,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2017,2.8,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2018,2.4,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2019,2.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,2020,3.4,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DK,1993,9.7,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DK,1994,7.7,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DK,1995,8.7,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DK,1996,8.6,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DK,1997,7.1,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DK,1998,6.3,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DK,1999,7.0,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DK,2000,4.5,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DK,2001,5.8,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DK,2002,5.0,
