DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2017,43606,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2018,42463,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2019,44218,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2020,44238,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2021,44668,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2022,50269,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,1995,7822,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,1996,8199,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,1997,8648,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,1998,9322,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,1999,9799,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2000,10676,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2001,11317,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2002,11753,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2003,12319,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2004,13148,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2005,13994,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2006,14876,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2007,16299,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2008,17908,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2009,16585,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2010,17345,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2011,17296,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2012,16961,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2013,15956,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2014,15770,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2015,15936,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2016,16289,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2017,17142,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2018,17894,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2019,18728,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2020,17764,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2021,18852,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CY,2022,21445,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,1995,2629,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,1996,3059,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,1997,3251,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,1998,3495,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,1999,3593,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2000,3914,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2001,4394,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2002,5181,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2003,5303,
